No,Country,City,Site name,Location,Start date,End date,Sample name,Sampling days,"Sampling volume, m3",Identified mass,NAP,ACY,ACE,FLU,PHE,ANT,FLA,PYR,BaA,CHR,BbF,BkF,BaP,DahA,InD,DghiP,Concentration,NAP,ACY,ACE,FLU,PHE,ANT,FLA,PYR,BaA,CHR,BbF,BkF,BaP,DahA,InD,DghiP,16PAHs,,,,,,,,,,,,,,,,,,,,
38,Bangladesh,Chittagong,C2-5,BD-C2-5(Chittagopng GK)city,2018-03-23,2018-07-14,SCP-88,113,395.5,,31.64 ,2.69 ,6.79 ,12.63 ,130.69 ,8.18 ,264.89 ,206.72 ,28.62 ,54.59 ,217.72 ,68.51 ,16.06 ,18.70 ,1.32 ,9.76 ,,0.16 ,0.01 ,0.03 ,0.06 ,0.66 ,0.04 ,1.34 ,1.05 ,0.14 ,0.28 ,1.10 ,0.35 ,0.08 ,0.09 ,0.01 ,0.05 ,5.46 ,,,,,,,,,,,,,,,,,,,,
39,Bangladesh,khulna,C3-1,BD+DC-3(lobonchora),2018-04-13,2018-06-29,SCP-89,77,269.5,,20.02 ,3.12 ,5.91 ,11.56 ,85.95 ,8.09 ,81.14 ,77.02 ,8.76 ,12.78 ,5.72 ,1.82 ,2.61 ,1.48 ,0.25 ,1.36 ,,0.15 ,0.02 ,0.04 ,0.09 ,0.64 ,0.06 ,0.60 ,0.57 ,0.06 ,0.09 ,0.04 ,0.01 ,0.02 ,0.01 ,0.00 ,0.01 ,2.43 ,,,,,,,,,,,,,,,,,,,,
40,Bangladesh,khulna,C3-2,BD+DC-3(SONADANGA),2018-04-13,2018-06-29,SCP-90,77,269.5,,26.22 ,5.71 ,9.73 ,20.26 ,144.10 ,13.57 ,178.21 ,145.63 ,21.06 ,31.42 ,14.07 ,2.77 ,4.19 ,2.24 ,0.55 ,1.82 ,,0.19 ,0.04 ,0.07 ,0.15 ,1.07 ,0.10 ,1.32 ,1.08 ,0.16 ,0.23 ,0.10 ,0.02 ,0.03 ,0.02 ,0.00 ,0.01 ,4.61 ,,,,,,,,,,,,,,,,,,,,
41,Bangladesh,Khulna,C3-3,BD+DC(Khulna University),2018-04-13,2018-06-29,SCP-91,77,269.5,,23.60 ,1.43 ,5.11 ,9.71 ,69.52 ,3.02 ,68.10 ,56.99 ,6.10 ,8.74 ,37.33 ,1.80 ,3.53 ,0.54 ,0.19 ,1.38 ,,0.18 ,0.01 ,0.04 ,0.07 ,0.52 ,0.02 ,0.51 ,0.42 ,0.05 ,0.06 ,0.28 ,0.01 ,0.03 ,0.00 ,0.00 ,0.01 ,2.20 ,,,,,,,,,,,,,,,,,,,,
42,Bangladesh,Khulna,C3-4,BD+DC(Khalishpur) khulna,2018-04-13,2018-06-29,SCP-92,77,269.5,,28.42 ,6.26 ,16.30 ,29.30 ,167.80 ,16.23 ,186.17 ,157.13 ,24.54 ,30.58 ,49.61 ,5.86 ,10.70 ,4.12 ,0.41 ,3.61 ,,0.21 ,0.05 ,0.12 ,0.22 ,1.25 ,0.12 ,1.38 ,1.17 ,0.18 ,0.23 ,0.37 ,0.04 ,0.08 ,0.03 ,0.00 ,0.03 ,5.47 ,,,,,,,,,,,,,,,,,,,,
43,Bangladesh,Sylhet,C4-1,BD-C4-1(Sylhet),2018-04-15,2018-06-20,SCP-93,66,231,,50.15 ,2.46 ,9.14 ,22.59 ,132.98 ,7.32 ,114.61 ,102.67 ,7.63 ,10.58 ,59.20 ,2.52 ,4.67 ,1.06 ,0.28 ,2.81 ,,0.43 ,0.02 ,0.08 ,0.20 ,1.15 ,0.06 ,0.99 ,0.89 ,0.07 ,0.09 ,0.51 ,0.02 ,0.04 ,0.01 ,0.00 ,0.02 ,4.59 ,,,,,,,,,,,,,,,,,,,,
44,Bangladesh,Bogura,C6-1,BD-C6-1(MOSLA Gobesona),2018-02-15,2018-05-08,SCP-94,82,287,,29.62 ,5.50 ,26.85 ,31.79 ,210.43 ,7.06 ,208.88 ,150.64 ,15.32 ,28.55 ,64.33 ,5.26 ,11.20 ,6.80 ,0.57 ,5.46 ,,0.21 ,0.04 ,0.19 ,0.22 ,1.47 ,0.05 ,1.46 ,1.05 ,0.11 ,0.20 ,0.45 ,0.04 ,0.08 ,0.05 ,0.00 ,0.04 ,5.63 ,,,,,,,,,,,,,,,,,,,,
45,Bangladesh,Bogura,C6-2,"BD-C6-2(Thonthonia, BRTC )",2018-02-15,2018-05-08,SCP-95,82,287,,26.43 ,5.95 ,25.24 ,36.45 ,227.94 ,14.12 ,306.01 ,213.70 ,28.89 ,47.55 ,18.52 ,2.30 ,4.53 ,2.87 ,0.27 ,2.39 ,,0.18 ,0.04 ,0.18 ,0.25 ,1.59 ,0.10 ,2.13 ,1.49 ,0.20 ,0.33 ,0.13 ,0.02 ,0.03 ,0.02 ,0.00 ,0.02 ,6.71 ,,,,,,,,,,,,,,,,,,,,
46,Bangladesh,Bogura,C6-3,"BD-C6-3(BWDB, Atpara,  BISIC)",2018-02-15,2018-05-08,SCP-96,82,287,,52.58 ,3.96 ,26.10 ,35.99 ,169.31 ,7.75 ,141.15 ,109.56 ,8.74 ,14.11 ,54.19 ,2.44 ,5.23 ,2.28 ,0.32 ,2.35 ,,0.37 ,0.03 ,0.18 ,0.25 ,1.18 ,0.05 ,0.98 ,0.76 ,0.06 ,0.10 ,0.38 ,0.02 ,0.04 ,0.02 ,0.00 ,0.02 ,4.43 ,,,,,,,,,,,,,,,,,,,,
47,Bangladesh,Bogura,C6-4,"BD-C6-4(Souj,  Nishindara)CHELOPARA",2018-02-15,2018-05-08,SCP-97,82,287,,36.74 ,10.20 ,31.31 ,45.70 ,241.78 ,14.65 ,306.10 ,216.84 ,25.45 ,41.79 ,15.01 ,6.10 ,13.34 ,7.42 ,0.74 ,6.73 ,,0.26 ,0.07 ,0.22 ,0.32 ,1.68 ,0.10 ,2.13 ,1.51 ,0.18 ,0.29 ,0.10 ,0.04 ,0.09 ,0.05 ,0.01 ,0.05 ,7.11 ,,,,,,,,,,,,,,,,,,,,
48,Bangladesh,Dhaka,C1-1,BD-C1-1(Chemistry Building),2018-06-12,2018-08-30,SCP-98,79,276.5,,46.12 ,8.73 ,21.71 ,41.45 ,212.01 ,12.74 ,477.53 ,355.44 ,49.50 ,108.24 ,170.92 ,16.08 ,34.80 ,31.43 ,1.76 ,14.15 ,,0.33 ,0.06 ,0.16 ,0.30 ,1.53 ,0.09 ,3.45 ,2.57 ,0.36 ,0.78 ,1.24 ,0.12 ,0.25 ,0.23 ,0.01 ,0.10 ,11.59 ,,,,,,,,,,,,,,,,,,,,
49,Bangladesh,Dhaka,C1-2,BD-C1-2(Amin Bazar),2018-06-13,2018-08-30,SCP-99,78,273,,122.01 ,46.29 ,65.46 ,108.97 ,614.96 ,61.41 ,1324.72 ,1344.49 ,52.95 ,169.74 ,185.83 ,1.31 ,33.02 ,10.02 ,3.79 ,16.70 ,,0.89 ,0.34 ,0.48 ,0.80 ,4.51 ,0.45 ,9.70 ,9.85 ,0.39 ,1.24 ,1.36 ,0.01 ,0.24 ,0.07 ,0.03 ,0.12 ,30.49 ,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,Dhaka,C1-3,BD-C1-3(Demra Dumping place),2018-07-03,2018-09-15,SCP-100,74,259,,100.92 ,19.06 ,41.59 ,64.15 ,331.74 ,29.25 ,777.41 ,501.12 ,62.07 ,137.81 ,10.59 ,67.06 ,34.97 ,19.45 ,2.29 ,15.04 ,,0.78 ,0.15 ,0.32 ,0.50 ,2.56 ,0.23 ,6.00 ,3.87 ,0.48 ,1.06 ,0.08 ,0.52 ,0.27 ,0.15 ,0.02 ,0.12 ,17.10 ,,,,,,,,,,,,,,,,,,,,
51,Bangladesh,Dhaka,C1-4,BD-C1-4(Medical Incineration)),2018-07-03,2018-09-15,SCP-101,74,259,,86.49 ,32.79 ,46.89 ,66.84 ,329.82 ,42.07 ,889.54 ,620.45 ,2.36 ,90.43 ,114.90 ,28.64 ,55.49 ,27.14 ,3.86 ,23.84 ,,0.67 ,0.25 ,0.36 ,0.52 ,2.55 ,0.32 ,6.87 ,4.79 ,0.02 ,0.70 ,0.89 ,0.22 ,0.43 ,0.21 ,0.03 ,0.18 ,19.01 ,,,,,,,,,,,,,,,,,,,,
52,Bangladesh,Dhaka,C1-5,"BD-C1-5(Mohakhali, Dhaka)",2018-06-20,2018-08-30,SCP-102,71,248.5,,114.11 ,43.26 ,61.86 ,88.19 ,435.15 ,55.51 ,1173.64 ,818.61 ,119.90 ,267.03 ,151.60 ,37.79 ,73.21 ,35.81 ,5.09 ,31.46 ,,0.92 ,0.35 ,0.50 ,0.71 ,3.50 ,0.45 ,9.45 ,6.59 ,0.96 ,2.15 ,1.22 ,0.30 ,0.59 ,0.29 ,0.04 ,0.25 ,28.27 ,,,,,,,,,,,,,,,,,,,,
53,Bangladesh,Dhaka,C1-7,"BD-C1-7(Akrain Bazar, Savar)",2018-06-13,2018-08-30,SCP-103,78,273,,55.70 ,22.01 ,49.80 ,85.63 ,279.32 ,55.78 ,287.82 ,247.03 ,34.77 ,41.74 ,18.80 ,6.05 ,10.91 ,4.42 ,0.51 ,4.39 ,,0.41 ,0.16 ,0.36 ,0.63 ,2.05 ,0.41 ,2.11 ,1.81 ,0.25 ,0.31 ,0.14 ,0.04 ,0.08 ,0.03 ,0.00 ,0.03 ,8.83 ,,,,,,,,,,,,,,,,,,,,
54,Bangladesh,Dhaka,C1-8,"BD-C1-8(JJK, Gazipur)",2018-07-20,2018-10-17,SCP-104,89,311.5,,62.33 ,9.33 ,26.07 ,44.64 ,139.49 ,5.99 ,100.46 ,79.68 ,5.70 ,11.75 ,7.68 ,2.14 ,5.02 ,2.00 ,0.35 ,2.30 ,,0.40 ,0.06 ,0.17 ,0.29 ,0.90 ,0.04 ,0.65 ,0.51 ,0.04 ,0.08 ,0.05 ,0.01 ,0.03 ,0.01 ,0.00 ,0.01 ,3.24 ,,,,,,,,,,,,,,,,,,,,
55,Bangladesh,Chittagong,C2-1,BD-C2-1(Old ship Mosque),2018-07-14,2018-09-30,SCP-105,78,273,,39.59 ,5.79 ,19.38 ,60.48 ,276.16 ,44.09 ,1149.27 ,705.88 ,147.95 ,203.85 ,509.86 ,190.94 ,53.29 ,25.01 ,5.02 ,22.51 ,,0.29 ,0.04 ,0.14 ,0.44 ,2.02 ,0.32 ,8.42 ,5.17 ,1.08 ,1.49 ,3.74 ,1.40 ,0.39 ,0.18 ,0.04 ,0.16 ,25.34 ,,,,,,,,,,,,,,,,,,,,
56,Bangladesh,Chittagong,C2-2,BD-C2-2(Old ship breaking yard),2018-07-14,2018-09-30,SCP-106,78,273,,50.90 ,7.07 ,42.62 ,103.52 ,356.93 ,70.13 ,1244.96 ,793.98 ,199.01 ,231.87 ,509.12 ,9.41 ,66.27 ,50.45 ,11.30 ,45.00 ,,0.37 ,0.05 ,0.31 ,0.76 ,2.61 ,0.51 ,9.12 ,5.82 ,1.46 ,1.70 ,3.73 ,0.07 ,0.49 ,0.37 ,0.08 ,0.33 ,27.78 ,,,,,,,,,,,,,,,,,,,,
57,Bangladesh,Chittagong,C2-3,Bd-C2-3(Chemical complex),2018-07-14,2018-09-30,SCP-107,78,273,,32.06 ,6.08 ,12.44 ,25.40 ,128.20 ,13.18 ,111.33 ,109.69 ,15.45 ,14.88 ,68.19 ,2.11 ,6.65 ,2.29 ,0.78 ,3.09 ,,0.23 ,0.04 ,0.09 ,0.19 ,0.94 ,0.10 ,0.82 ,0.80 ,0.11 ,0.11 ,0.50 ,0.02 ,0.05 ,0.02 ,0.01 ,0.02 ,4.04 ,,,,,,,,,,,,,,,,,,,,
58,Bangladesh,Chittagong,C2-4,"BD-C2-4(PHP, Kumira, Shitakundo)",2018-07-14,2018-09-30,SCP-108,78,273,,47.03 ,31.86 ,51.09 ,83.13 ,311.60 ,62.36 ,395.89 ,316.70 ,53.67 ,55.15 ,10.43 ,18.25 ,14.05 ,4.03 ,0.61 ,4.26 ,,0.34 ,0.23 ,0.37 ,0.61 ,2.28 ,0.46 ,2.90 ,2.32 ,0.39 ,0.40 ,0.08 ,0.13 ,0.10 ,0.03 ,0.00 ,0.03 ,10.70 ,,,,,,,,,,,,,,,,,,,,
59,Bangladesh,Chittagong,C2-5,BD-C2-5(Chittagopng GK)city,2018-07-14,2018-09-30,SCP-109,78,273,,47.03 ,7.85 ,17.64 ,42.50 ,175.53 ,18.04 ,164.78 ,158.70 ,22.15 ,27.50 ,27.97 ,1.91 ,6.14 ,5.62 ,0.30 ,3.05 ,,0.34 ,0.06 ,0.13 ,0.31 ,1.29 ,0.13 ,1.21 ,1.16 ,0.16 ,0.20 ,0.20 ,0.01 ,0.04 ,0.04 ,0.00 ,0.02 ,5.32 ,,,,,,,,,,,,,,,,,,,,
60,Bangladesh,Khulna,C3-1,BD-C3-1(Khulna),2018-06-29,2018-09-10,SCP-110,73,255.5,,16.40 ,3.92 ,10.58 ,16.86 ,99.68 ,5.89 ,129.49 ,81.44 ,15.97 ,19.04 ,87.42 ,4.28 ,9.06 ,3.93 ,0.45 ,3.20 ,,0.13 ,0.03 ,0.08 ,0.13 ,0.78 ,0.05 ,1.01 ,0.64 ,0.13 ,0.15 ,0.68 ,0.03 ,0.07 ,0.03 ,0.00 ,0.03 ,3.97 ,,,,,,,,,,,,,,,,,,,,
61,Bangladesh,Khulna,C3-2,BD-C3-2(Khulna),2018-06-29,2018-09-10,SCP-111,73,255.5,,25.74 ,4.27 ,2.84 ,20.65 ,79.14 ,4.10 ,73.58 ,63.87 ,7.51 ,12.25 ,45.15 ,1.56 ,4.20 ,1.05 ,0.39 ,1.42 ,,0.20 ,0.03 ,0.02 ,0.16 ,0.62 ,0.03 ,0.58 ,0.50 ,0.06 ,0.10 ,0.35 ,0.01 ,0.03 ,0.01 ,0.00 ,0.01 ,2.72 ,,,,,,,,,,,,,,,,,,,,
62,Bangladesh,Khulna,C3-3,BD-C3-3(Khulna),2018-06-29,2018-09-10,SCP-112,73,255.5,,40.49 ,8.33 ,14.10 ,28.13 ,172.35 ,24.40 ,233.85 ,193.62 ,35.89 ,35.19 ,92.47 ,4.57 ,10.39 ,6.06 ,0.54 ,3.77 ,,0.32 ,0.07 ,0.11 ,0.22 ,1.35 ,0.19 ,1.83 ,1.52 ,0.28 ,0.28 ,0.72 ,0.04 ,0.08 ,0.05 ,0.00 ,0.03 ,7.08 ,,,,,,,,,,,,,,,,,,,,
63,Bangladesh,Khulna,C3-4,BD-C3-4(Khulna),2018-06-29,2018-09-10,SCP-113,73,255.5,,52.64 ,8.43 ,14.61 ,29.95 ,171.16 ,17.53 ,205.32 ,158.47 ,33.19 ,33.29 ,122.79 ,5.57 ,13.22 ,3.58 ,0.60 ,3.20 ,,0.41 ,0.07 ,0.11 ,0.23 ,1.34 ,0.14 ,1.61 ,1.24 ,0.26 ,0.26 ,0.96 ,0.04 ,0.10 ,0.03 ,0.00 ,0.03 ,6.84 ,,,,,,,,,,,,,,,,,,,,
64,Bangladesh,Bogura,C6-1,"BD-C6-1-(MOSLA ,BADC,MATIDALI)",2018-05-08,2018-10-30,SCP-114,175,612.5,,52.42 ,30.11 ,60.48 ,98.90 ,250.15 ,20.43 ,260.61 ,207.28 ,29.02 ,44.43 ,22.89 ,8.75 ,23.34 ,8.03 ,1.10 ,8.38 ,,0.17 ,0.10 ,0.20 ,0.32 ,0.82 ,0.07 ,0.85 ,0.68 ,0.09 ,0.15 ,0.07 ,0.03 ,0.08 ,0.03 ,0.00 ,0.03 ,3.68 ,,,,,,,,,,,,,,,,,,,,
65,Bangladesh,Bogura,C6-2,"BD-C6-2-(Thonthoniya, BRTC)",2018-05-08,2018-10-30,SCP-115,175,612.5,,50.85 ,19.29 ,66.45 ,91.03 ,304.89 ,30.13 ,1144.36 ,716.31 ,93.59 ,159.43 ,1061.24 ,249.40 ,76.06 ,65.22 ,3.73 ,34.44 ,,0.17 ,0.06 ,0.22 ,0.30 ,1.00 ,0.10 ,3.74 ,2.34 ,0.31 ,0.52 ,3.47 ,0.81 ,0.25 ,0.21 ,0.01 ,0.11 ,13.60 ,,,,,,,,,,,,,,,,,,,,
66,Bangladesh,Bogura,C6-3,BD-C6-3(BWDB+Atapara)BISIC,2018-05-08,2018-10-30,SCP-116,175,612.5,,85.55 ,23.97 ,70.30 ,111.05 ,222.10 ,23.91 ,198.59 ,152.71 ,19.97 ,23.33 ,189.45 ,32.75 ,13.32 ,3.05 ,0.56 ,3.46 ,,0.28 ,0.08 ,0.23 ,0.36 ,0.73 ,0.08 ,0.65 ,0.50 ,0.07 ,0.08 ,0.62 ,0.11 ,0.04 ,0.01 ,0.00 ,0.01 ,3.83 ,,,,,,,,,,,,,,,,,,,,
67,Bangladesh,Bogura,C6-4,"BD-C6-4(Chelopara)NISHINDARA, SOUJ)",2018-05-08,2018-10-30,SCP-117,175,612.5,,103.17 ,65.55 ,79.74 ,127.58 ,400.02 ,59.37 ,857.20 ,557.10 ,79.79 ,102.23 ,681.69 ,130.93 ,41.70 ,6.83 ,7.39 ,15.08 ,,0.34 ,0.21 ,0.26 ,0.42 ,1.31 ,0.19 ,2.80 ,1.82 ,0.26 ,0.33 ,2.23 ,0.43 ,0.14 ,0.02 ,0.02 ,0.05 ,10.83 ,,,,,,,,,,,,,,,,,,,,
68,Bangladesh,Mymensingh,C7-1,BD-C7-1(Mymensingh),2018-07-03,2018-09-30,SCP-118,89,311.5,,46.51 ,9.66 ,105.07 ,138.39 ,413.56 ,34.32 ,656.26 ,483.12 ,66.04 ,94.78 ,554.33 ,22.41 ,45.67 ,28.21 ,3.27 ,27.69 ,,0.30 ,0.06 ,0.67 ,0.89 ,2.66 ,0.22 ,4.21 ,3.10 ,0.42 ,0.61 ,3.56 ,0.14 ,0.29 ,0.18 ,0.02 ,0.18 ,17.52 ,,,,,,,,,,,,,,,,,,,,
69,Bangladesh,Mymensingh ,C7-2,BD-C7-2( RAK Ceramics),2018-07-03,2018-09-30,SCP-119,89,311.5,,64.66 ,13.96 ,130.36 ,152.80 ,597.65 ,49.77 ,1308.04 ,893.35 ,78.63 ,119.10 ,687.71 ,4.96 ,53.95 ,40.10 ,3.96 ,34.07 ,,0.42 ,0.09 ,0.84 ,0.98 ,3.84 ,0.32 ,8.40 ,5.74 ,0.50 ,0.76 ,4.42 ,0.03 ,0.35 ,0.26 ,0.03 ,0.22 ,27.18 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,FB1,,51.02 ,0.85 ,5.41 ,5.60 ,2.87 ,0.27 ,0.76 ,1.05 ,0.28 ,0.10 ,44.55 ,39.99 ,4.14 ,3.45 ,0.59 ,0.10 ,mean,0.32 ,0.07 ,0.21 ,0.33 ,2.34 ,0.15 ,3.09 ,2.26 ,0.25 ,0.50 ,0.75 ,0.12 ,0.12 ,0.09 ,0.01 ,0.07 ,10.69 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,FB2,,55.18 ,0.31 ,2.85 ,5.79 ,3.78 ,0.35 ,0.68 ,1.12 ,0.09 ,0.13 ,19.39 ,18.29 ,0.12 ,0.15 ,0.44 ,0.11 ,std,0.21 ,0.07 ,0.18 ,0.22 ,1.74 ,0.12 ,2.47 ,1.76 ,0.25 ,0.42 ,1.00 ,0.21 ,0.12 ,0.10 ,0.02 ,0.07 ,7.34 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,FB3,,59.92 ,0.29 ,5.50 ,4.96 ,3.92 ,0.24 ,0.08 ,1.50 ,0.44 ,0.18 ,34.60 ,36.55 ,0.89 ,2.01 ,0.61 ,0.09 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,mean,,55.37 ,0.48 ,4.59 ,5.45 ,3.53 ,0.29 ,0.51 ,1.22 ,0.27 ,0.14 ,32.85 ,31.61 ,1.72 ,1.87 ,0.55 ,0.10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,std,,4.45 ,0.32 ,1.50 ,0.43 ,0.57 ,0.05 ,0.37 ,0.24 ,0.18 ,0.04 ,12.67 ,11.66 ,2.13 ,1.66 ,0.09 ,0.01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"MDL, ng",,68.74 ,1.43 ,9.10 ,6.74 ,5.23 ,0.45 ,1.62 ,1.94 ,0.80 ,0.27 ,70.87 ,66.59 ,8.11 ,6.84 ,0.83 ,0.12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
